dm_milk_production_national_month_key	program	year	geo_level	month	production_weight_lbs	production_weight_by_cattle_head_lbs	milk_cows
64	SURVEY	1935	NATIONAL	4	8,440,000,000	347	24,301,000
65	SURVEY	1935	NATIONAL	5	10,222,000,000	422	24,237,000
66	SURVEY	1935	NATIONAL	6	10,991,000,000	455	24,178,000
67	SURVEY	1935	NATIONAL	7	10,384,000,000	430	24,125,000
68	SURVEY	1935	NATIONAL	8	9,402,000,000	391	24,074,000
69	SURVEY	1935	NATIONAL	9	8,258,000,000	344	24,029,000
70	SURVEY	1935	NATIONAL	10	7,702,000,000	321	23,991,000
71	SURVEY	1935	NATIONAL	11	7,003,000,000	292	23,963,000
72	SURVEY	1935	NATIONAL	12	7,206,000,000	301	23,933,000
73	SURVEY	1936	NATIONAL	1	7,292,000,000	305	23,909,000
74	SURVEY	1936	NATIONAL	2	7,159,000,000	300	23,882,000
75	SURVEY	1936	NATIONAL	3	8,244,000,000	346	23,859,000
76	SURVEY	1936	NATIONAL	4	8,807,000,000	370	23,833,000
77	SURVEY	1936	NATIONAL	5	10,507,000,000	441	23,804,000
78	SURVEY	1936	NATIONAL	6	10,948,000,000	461	23,772,000
79	SURVEY	1936	NATIONAL	7	9,893,000,000	417	23,737,000
80	SURVEY	1936	NATIONAL	8	8,695,000,000	367	23,686,000
81	SURVEY	1936	NATIONAL	9	8,049,000,000	341	23,637,000
82	SURVEY	1936	NATIONAL	10	8,090,000,000	343	23,577,000
83	SURVEY	1936	NATIONAL	11	7,322,000,000	311	23,532,000
84	SURVEY	1936	NATIONAL	12	7,404,000,000	315	23,485,000
85	SURVEY	1937	NATIONAL	1	7,388,000,000	315	23,447,000
86	SURVEY	1937	NATIONAL	2	6,899,000,000	295	23,420,000
87	SURVEY	1937	NATIONAL	3	8,041,000,000	344	23,397,000
88	SURVEY	1937	NATIONAL	4	8,560,000,000	366	23,382,000
89	SURVEY	1937	NATIONAL	5	10,466,000,000	448	23,363,000
90	SURVEY	1937	NATIONAL	6	10,955,000,000	469	23,342,000
91	SURVEY	1937	NATIONAL	7	10,323,000,000	443	23,322,000
92	SURVEY	1937	NATIONAL	8	9,192,000,000	394	23,304,000
93	SURVEY	1937	NATIONAL	9	8,071,000,000	347	23,289,000
94	SURVEY	1937	NATIONAL	10	7,735,000,000	332	23,274,000
95	SURVEY	1937	NATIONAL	11	6,981,000,000	300	23,259,000
96	SURVEY	1937	NATIONAL	12	7,297,000,000	314	23,244,000
97	SURVEY	1938	NATIONAL	1	7,438,000,000	320	23,226,000
98	SURVEY	1938	NATIONAL	2	7,089,000,000	305	23,221,000
99	SURVEY	1938	NATIONAL	3	8,443,000,000	364	23,213,000
100	SURVEY	1938	NATIONAL	4	9,120,000,000	393	23,207,000
101	SURVEY	1938	NATIONAL	5	10,881,000,000	469	23,207,000
102	SURVEY	1938	NATIONAL	6	11,226,000,000	484	23,207,000
103	SURVEY	1938	NATIONAL	7	10,581,000,000	456	23,211,000
104	SURVEY	1938	NATIONAL	8	9,545,000,000	411	23,209,000
105	SURVEY	1938	NATIONAL	9	8,445,000,000	364	23,211,000
106	SURVEY	1938	NATIONAL	10	8,073,000,000	348	23,209,000
107	SURVEY	1938	NATIONAL	11	7,396,000,000	319	23,208,000
108	SURVEY	1938	NATIONAL	12	7,570,000,000	326	23,204,000
109	SURVEY	1939	NATIONAL	1	7,807,000,000	336	23,201,000
110	SURVEY	1939	NATIONAL	2	7,411,000,000	320	23,195,000
111	SURVEY	1939	NATIONAL	3	8,725,000,000	376	23,219,000
112	SURVEY	1939	NATIONAL	4	9,195,000,000	396	23,227,000
113	SURVEY	1939	NATIONAL	5	10,903,000,000	469	23,241,000
114	SURVEY	1939	NATIONAL	6	11,277,000,000	485	23,250,000
115	SURVEY	1939	NATIONAL	7	10,498,000,000	451	23,265,000
116	SURVEY	1939	NATIONAL	8	9,515,000,000	409	23,283,000
117	SURVEY	1939	NATIONAL	9	8,394,000,000	360	23,311,000
118	SURVEY	1939	NATIONAL	10	7,945,000,000	340	23,334,000
119	SURVEY	1939	NATIONAL	11	7,433,000,000	318	23,364,000
120	SURVEY	1939	NATIONAL	12	7,689,000,000	329	23,400,000
121	SURVEY	1940	NATIONAL	1	7,670,000,000	327	23,440,000
122	SURVEY	1940	NATIONAL	2	7,631,000,000	325	23,480,000
123	SURVEY	1940	NATIONAL	3	8,796,000,000	374	23,520,000
124	SURVEY	1940	NATIONAL	4	9,377,000,000	398	23,560,000
125	SURVEY	1940	NATIONAL	5	11,276,000,000	478	23,590,000
126	SURVEY	1940	NATIONAL	6	11,678,000,000	494	23,640,000
127	SURVEY	1940	NATIONAL	7	10,845,000,000	458	23,680,000
128	SURVEY	1940	NATIONAL	8	9,919,000,000	418	23,730,000
129	SURVEY	1940	NATIONAL	9	8,822,000,000	371	23,780,000
130	SURVEY	1940	NATIONAL	10	8,269,000,000	347	23,830,000
131	SURVEY	1940	NATIONAL	11	7,427,000,000	311	23,880,000
132	SURVEY	1940	NATIONAL	12	7,702,000,000	322	23,920,000
133	SURVEY	1941	NATIONAL	1	8,122,000,000	339	23,960,000
134	SURVEY	1941	NATIONAL	2	7,855,000,000	327	24,020,000
135	SURVEY	1941	NATIONAL	3	9,174,000,000	381	24,060,000
136	SURVEY	1941	NATIONAL	4	10,050,000,000	417	24,100,000
137	SURVEY	1941	NATIONAL	5	12,182,000,000	504	24,170,000
138	SURVEY	1941	NATIONAL	6	12,042,000,000	497	24,230,000
139	SURVEY	1941	NATIONAL	7	11,372,000,000	468	24,300,000
140	SURVEY	1941	NATIONAL	8	10,455,000,000	429	24,370,000
141	SURVEY	1941	NATIONAL	9	9,238,000,000	378	24,440,000
142	SURVEY	1941	NATIONAL	10	8,684,000,000	354	24,530,000
143	SURVEY	1941	NATIONAL	11	7,798,000,000	317	24,600,000
144	SURVEY	1941	NATIONAL	12	8,116,000,000	329	24,670,000
145	SURVEY	1942	NATIONAL	1	8,451,000,000	342	24,710,000
146	SURVEY	1942	NATIONAL	2	8,149,000,000	329	24,770,000
147	SURVEY	1942	NATIONAL	3	9,539,000,000	384	24,840,000
148	SURVEY	1942	NATIONAL	4	10,504,000,000	422	24,890,000
149	SURVEY	1942	NATIONAL	5	12,600,000,000	505	24,950,000
150	SURVEY	1942	NATIONAL	6	12,555,000,000	502	25,010,000
151	SURVEY	1942	NATIONAL	7	11,853,000,000	473	25,060,000
152	SURVEY	1942	NATIONAL	8	10,902,000,000	434	25,120,000
153	SURVEY	1942	NATIONAL	9	9,414,000,000	374	25,170,000
154	SURVEY	1942	NATIONAL	10	8,629,000,000	342	25,230,000
155	SURVEY	1942	NATIONAL	11	7,790,000,000	308	25,270,000
156	SURVEY	1942	NATIONAL	12	8,147,000,000	322	25,300,000
157	SURVEY	1943	NATIONAL	1	8,458,000,000	334	25,320,000
158	SURVEY	1943	NATIONAL	2	8,210,000,000	324	25,340,000
159	SURVEY	1943	NATIONAL	3	9,637,000,000	380	25,360,000
160	SURVEY	1943	NATIONAL	4	10,359,000,000	408	25,390,000
161	SURVEY	1943	NATIONAL	5	12,303,000,000	484	25,420,000
162	SURVEY	1943	NATIONAL	6	12,654,000,000	497	25,460,000
163	SURVEY	1943	NATIONAL	7	11,848,000,000	465	25,480,000
164	SURVEY	1943	NATIONAL	8	10,608,000,000	416	25,500,000
165	SURVEY	1943	NATIONAL	9	9,111,000,000	357	25,520,000
166	SURVEY	1943	NATIONAL	10	8,425,000,000	330	25,530,000
167	SURVEY	1943	NATIONAL	11	7,560,000,000	296	25,540,000
168	SURVEY	1943	NATIONAL	12	7,844,000,000	307	25,550,000
169	SURVEY	1944	NATIONAL	1	8,358,000,000	327	25,560,000
170	SURVEY	1944	NATIONAL	2	8,438,000,000	330	25,570,000
171	SURVEY	1944	NATIONAL	3	9,592,000,000	375	25,580,000
172	SURVEY	1944	NATIONAL	4	10,189,000,000	398	25,600,000
173	SURVEY	1944	NATIONAL	5	12,272,000,000	479	25,620,000
174	SURVEY	1944	NATIONAL	6	12,333,000,000	481	25,640,000
175	SURVEY	1944	NATIONAL	7	11,594,000,000	452	25,650,000
176	SURVEY	1944	NATIONAL	8	10,410,000,000	406	25,640,000
177	SURVEY	1944	NATIONAL	9	9,223,000,000	360	25,620,000
178	SURVEY	1944	NATIONAL	10	8,646,000,000	338	25,580,000
179	SURVEY	1944	NATIONAL	11	7,821,000,000	306	25,560,000
180	SURVEY	1944	NATIONAL	12	8,147,000,000	319	25,540,000
181	SURVEY	1945	NATIONAL	1	8,517,000,000	334	25,500,000
182	SURVEY	1945	NATIONAL	2	8,243,000,000	324	25,440,000
183	SURVEY	1945	NATIONAL	3	9,814,000,000	387	25,360,000
184	SURVEY	1945	NATIONAL	4	10,718,000,000	424	25,280,000
185	SURVEY	1945	NATIONAL	5	12,696,000,000	504	25,190,000
186	SURVEY	1945	NATIONAL	6	12,907,000,000	514	25,110,000
187	SURVEY	1945	NATIONAL	7	12,194,000,000	487	25,040,000
188	SURVEY	1945	NATIONAL	8	11,010,000,000	442	24,910,000
189	SURVEY	1945	NATIONAL	9	9,428,000,000	380	24,810,000
190	SURVEY	1945	NATIONAL	10	8,719,000,000	353	24,700,000
191	SURVEY	1945	NATIONAL	11	7,718,000,000	314	24,580,000
192	SURVEY	1945	NATIONAL	12	7,864,000,000	321	24,500,000
193	SURVEY	1946	NATIONAL	1	8,202,000,000	336	24,410,000
194	SURVEY	1946	NATIONAL	2	8,029,000,000	330	24,330,000
195	SURVEY	1946	NATIONAL	3	9,603,000,000	396	24,250,000
196	SURVEY	1946	NATIONAL	4	10,595,000,000	438	24,190,000
197	SURVEY	1946	NATIONAL	5	12,577,000,000	521	24,140,000
198	SURVEY	1946	NATIONAL	6	12,489,000,000	518	24,110,000
199	SURVEY	1946	NATIONAL	7	11,813,000,000	491	24,060,000
200	SURVEY	1946	NATIONAL	8	10,756,000,000	448	24,010,000
201	SURVEY	1946	NATIONAL	9	9,296,000,000	388	23,960,000
202	SURVEY	1946	NATIONAL	10	8,632,000,000	361	23,910,000
203	SURVEY	1946	NATIONAL	11	7,698,000,000	323	23,870,000
204	SURVEY	1946	NATIONAL	12	8,007,000,000	336	23,830,000
205	SURVEY	1947	NATIONAL	1	8,418,000,000	354	23,780,000
206	SURVEY	1947	NATIONAL	2	8,231,000,000	347	23,720,000
207	SURVEY	1947	NATIONAL	3	9,787,000,000	414	23,640,000
208	SURVEY	1947	NATIONAL	4	10,508,000,000	446	23,560,000
209	SURVEY	1947	NATIONAL	5	12,491,000,000	532	23,480,000
210	SURVEY	1947	NATIONAL	6	12,631,000,000	540	23,400,000
211	SURVEY	1947	NATIONAL	7	11,930,000,000	512	23,300,000
212	SURVEY	1947	NATIONAL	8	10,454,000,000	450	23,230,000
213	SURVEY	1947	NATIONAL	9	8,998,000,000	389	23,130,000
214	SURVEY	1947	NATIONAL	10	8,445,000,000	367	23,010,000
215	SURVEY	1947	NATIONAL	11	7,374,000,000	322	22,900,000
216	SURVEY	1947	NATIONAL	12	7,547,000,000	331	22,800,000
217	SURVEY	1948	NATIONAL	1	7,842,000,000	345	22,730,000
218	SURVEY	1948	NATIONAL	2	7,856,000,000	347	22,640,000
219	SURVEY	1948	NATIONAL	3	9,155,000,000	406	22,550,000
220	SURVEY	1948	NATIONAL	4	9,999,000,000	445	22,470,000
221	SURVEY	1948	NATIONAL	5	11,997,000,000	536	22,390,000
222	SURVEY	1948	NATIONAL	6	11,986,000,000	537	22,320,000
223	SURVEY	1948	NATIONAL	7	11,246,000,000	505	22,270,000
224	SURVEY	1948	NATIONAL	8	10,248,000,000	461	22,230,000
225	SURVEY	1948	NATIONAL	9	8,898,000,000	401	22,190,000
226	SURVEY	1948	NATIONAL	10	8,306,000,000	375	22,150,000
227	SURVEY	1948	NATIONAL	11	7,432,000,000	336	22,120,000
228	SURVEY	1948	NATIONAL	12	7,706,000,000	349	22,080,000
229	SURVEY	1949	NATIONAL	1	8,096,000,000	367	22,060,000
230	SURVEY	1949	NATIONAL	2	7,938,000,000	360	22,050,000
231	SURVEY	1949	NATIONAL	3	9,587,000,000	435	22,040,000
232	SURVEY	1949	NATIONAL	4	10,469,000,000	475	22,040,000
233	SURVEY	1949	NATIONAL	5	12,326,000,000	560	22,030,000
234	SURVEY	1949	NATIONAL	6	12,116,000,000	550	22,030,000
235	SURVEY	1949	NATIONAL	7	11,279,000,000	512	22,030,000
236	SURVEY	1949	NATIONAL	8	10,548,000,000	479	22,020,000
237	SURVEY	1949	NATIONAL	9	9,222,000,000	419	22,010,000
238	SURVEY	1949	NATIONAL	10	8,624,000,000	392	22,000,000
239	SURVEY	1949	NATIONAL	11	7,806,000,000	355	21,990,000
240	SURVEY	1949	NATIONAL	12	8,092,000,000	368	21,990,000
241	SURVEY	1950	NATIONAL	1	8,378,000,000	381	21,990,000
242	SURVEY	1950	NATIONAL	2	8,199,000,000	373	21,980,000
243	SURVEY	1950	NATIONAL	3	9,785,000,000	445	21,970,000
244	SURVEY	1950	NATIONAL	4	10,387,000,000	473	21,960,000
245	SURVEY	1950	NATIONAL	5	12,034,000,000	548	21,960,000
246	SURVEY	1950	NATIONAL	6	12,138,000,000	553	21,950,000
247	SURVEY	1950	NATIONAL	7	11,497,000,000	524	21,940,000
248	SURVEY	1950	NATIONAL	8	10,570,000,000	482	21,930,000
249	SURVEY	1950	NATIONAL	9	9,184,000,000	419	21,920,000
250	SURVEY	1950	NATIONAL	10	8,658,000,000	395	21,920,000
251	SURVEY	1950	NATIONAL	11	7,800,000,000	356	21,910,000
252	SURVEY	1950	NATIONAL	12	7,972,000,000	364	21,900,000
253	SURVEY	1951	NATIONAL	1	8,277,000,000	379	21,840,000
254	SURVEY	1951	NATIONAL	2	8,077,000,000	371	21,770,000
255	SURVEY	1951	NATIONAL	3	9,570,000,000	441	21,700,000
256	SURVEY	1951	NATIONAL	4	10,149,000,000	469	21,640,000
257	SURVEY	1951	NATIONAL	5	12,063,000,000	559	21,580,000
258	SURVEY	1951	NATIONAL	6	12,096,000,000	562	21,523,000
259	SURVEY	1951	NATIONAL	7	11,366,000,000	530	21,450,000
260	SURVEY	1951	NATIONAL	8	10,443,000,000	488	21,400,000
261	SURVEY	1951	NATIONAL	9	9,005,000,000	422	21,340,000
262	SURVEY	1951	NATIONAL	10	8,410,000,000	395	21,290,000
263	SURVEY	1951	NATIONAL	11	7,508,000,000	353	21,270,000
264	SURVEY	1951	NATIONAL	12	7,717,000,000	363	21,260,000
265	SURVEY	1952	NATIONAL	1	8,105,000,000	381	21,250,000
266	SURVEY	1952	NATIONAL	2	8,118,000,000	382	21,250,000
267	SURVEY	1952	NATIONAL	3	9,333,000,000	439	21,260,000
268	SURVEY	1952	NATIONAL	4	10,103,000,000	475	21,270,000
269	SURVEY	1952	NATIONAL	5	12,066,000,000	567	21,280,000
270	SURVEY	1952	NATIONAL	6	11,817,000,000	555	21,291,000
271	SURVEY	1952	NATIONAL	7	11,017,000,000	517	21,310,000
272	SURVEY	1952	NATIONAL	8	10,205,000,000	478	21,350,000
273	SURVEY	1952	NATIONAL	9	9,108,000,000	426	21,380,000
274	SURVEY	1952	NATIONAL	10	8,589,000,000	401	21,420,000
275	SURVEY	1952	NATIONAL	11	7,858,000,000	366	21,470,000
276	SURVEY	1952	NATIONAL	12	8,352,000,000	388	21,525,000
277	SURVEY	1953	NATIONAL	1	8,732,000,000	405	21,560,000
278	SURVEY	1953	NATIONAL	2	8,510,000,000	394	21,600,000
279	SURVEY	1953	NATIONAL	3	10,123,000,000	468	21,630,000
280	SURVEY	1953	NATIONAL	4	10,847,000,000	501	21,650,000
281	SURVEY	1953	NATIONAL	5	12,482,000,000	576	21,670,000
282	SURVEY	1953	NATIONAL	6	12,322,000,000	568	21,694,000
283	SURVEY	1953	NATIONAL	7	11,433,000,000	527	21,710,000
284	SURVEY	1953	NATIONAL	8	10,517,000,000	484	21,730,000
285	SURVEY	1953	NATIONAL	9	9,222,000,000	424	21,750,000
286	SURVEY	1953	NATIONAL	10	8,813,000,000	405	21,760,000
287	SURVEY	1953	NATIONAL	11	8,316,000,000	382	21,770,000
288	SURVEY	1953	NATIONAL	12	8,904,000,000	409	21,770,000
289	SURVEY	1954	NATIONAL	1	9,248,000,000	425	21,760,000
290	SURVEY	1954	NATIONAL	2	9,026,000,000	415	21,750,000
291	SURVEY	1954	NATIONAL	3	10,631,000,000	489	21,740,000
292	SURVEY	1954	NATIONAL	4	11,159,000,000	514	21,710,000
293	SURVEY	1954	NATIONAL	5	12,748,000,000	588	21,670,000
294	SURVEY	1954	NATIONAL	6	12,386,000,000	573	21,616,000
295	SURVEY	1954	NATIONAL	7	11,303,000,000	524	21,570,000
296	SURVEY	1954	NATIONAL	8	10,291,000,000	478	21,530,000
297	SURVEY	1954	NATIONAL	9	9,193,000,000	428	21,480,000
298	SURVEY	1954	NATIONAL	10	8,915,000,000	416	21,430,000
299	SURVEY	1954	NATIONAL	11	8,381,000,000	392	21,380,000
300	SURVEY	1954	NATIONAL	12	8,813,000,000	413	21,340,000
301	SURVEY	1955	NATIONAL	1	9,181,000,000	431	21,301,000
302	SURVEY	1955	NATIONAL	2	8,865,000,000	417	21,259,000
303	SURVEY	1955	NATIONAL	3	10,433,000,000	492	21,205,000
304	SURVEY	1955	NATIONAL	4	11,087,000,000	524	21,159,000
305	SURVEY	1955	NATIONAL	5	12,902,000,000	611	21,117,000
306	SURVEY	1955	NATIONAL	6	12,409,000,000	589	21,068,000
307	SURVEY	1955	NATIONAL	7	11,352,000,000	540	21,022,000
308	SURVEY	1955	NATIONAL	8	10,425,000,000	497	20,976,000
309	SURVEY	1955	NATIONAL	9	9,459,000,000	452	20,927,000
310	SURVEY	1955	NATIONAL	10	9,166,000,000	439	20,879,000
311	SURVEY	1955	NATIONAL	11	8,583,000,000	412	20,832,000
312	SURVEY	1955	NATIONAL	12	9,083,000,000	437	20,786,000
313	SURVEY	1956	NATIONAL	1	9,603,000,000	463	20,740,000
314	SURVEY	1956	NATIONAL	2	9,539,000,000	461	20,693,000
315	SURVEY	1956	NATIONAL	3	10,839,000,000	525	20,646,000
316	SURVEY	1956	NATIONAL	4	11,270,000,000	547	20,604,000
317	SURVEY	1956	NATIONAL	5	12,626,000,000	614	20,563,000
318	SURVEY	1956	NATIONAL	6	12,393,000,000	604	20,519,000
319	SURVEY	1956	NATIONAL	7	11,387,000,000	556	20,481,000
320	SURVEY	1956	NATIONAL	8	10,465,000,000	512	20,440,000
321	SURVEY	1956	NATIONAL	9	9,465,000,000	464	20,399,000
322	SURVEY	1956	NATIONAL	10	9,300,000,000	457	20,351,000
323	SURVEY	1956	NATIONAL	11	8,730,000,000	430	20,303,000
324	SURVEY	1956	NATIONAL	12	9,243,000,000	456	20,269,000
325	SURVEY	1957	NATIONAL	1	9,711,000,000	481	20,183,000
326	SURVEY	1957	NATIONAL	2	9,337,000,000	464	20,122,000
327	SURVEY	1957	NATIONAL	3	10,807,000,000	539	20,050,000
328	SURVEY	1957	NATIONAL	4	11,269,000,000	564	19,980,000
329	SURVEY	1957	NATIONAL	5	12,862,000,000	646	19,910,000
330	SURVEY	1957	NATIONAL	6	12,296,000,000	620	19,833,000
331	SURVEY	1957	NATIONAL	7	11,360,000,000	575	19,756,000
332	SURVEY	1957	NATIONAL	8	10,385,000,000	528	19,669,000
333	SURVEY	1957	NATIONAL	9	9,362,000,000	478	19,585,000
334	SURVEY	1957	NATIONAL	10	9,279,000,000	476	19,494,000
335	SURVEY	1957	NATIONAL	11	8,712,000,000	449	19,403,000
336	SURVEY	1957	NATIONAL	12	9,248,000,000	479	19,307,000
337	SURVEY	1958	NATIONAL	1	9,722,000,000	506	19,213,000
338	SURVEY	1958	NATIONAL	2	9,201,000,000	481	19,120,000
339	SURVEY	1958	NATIONAL	3	10,613,000,000	558	19,019,000
340	SURVEY	1958	NATIONAL	4	11,009,000,000	582	18,915,000
341	SURVEY	1958	NATIONAL	5	12,386,000,000	658	18,823,000
342	SURVEY	1958	NATIONAL	6	12,067,000,000	644	18,737,000
343	SURVEY	1958	NATIONAL	7	11,101,000,000	595	18,657,000
344	SURVEY	1958	NATIONAL	8	10,180,000,000	548	18,576,000
345	SURVEY	1958	NATIONAL	9	9,357,000,000	506	18,493,000
346	SURVEY	1958	NATIONAL	10	9,352,000,000	508	18,409,000
347	SURVEY	1958	NATIONAL	11	8,869,000,000	484	18,324,000
348	SURVEY	1958	NATIONAL	12	9,363,000,000	513	18,251,000
349	SURVEY	1959	NATIONAL	1	9,730,000,000	535	18,187,000
350	SURVEY	1959	NATIONAL	2	9,208,000,000	508	18,126,000
351	SURVEY	1959	NATIONAL	3	10,623,000,000	588	18,067,000
352	SURVEY	1959	NATIONAL	4	11,005,000,000	611	18,012,000
353	SURVEY	1959	NATIONAL	5	12,230,000,000	681	17,959,000
354	SURVEY	1959	NATIONAL	6	11,748,000,000	656	17,909,000
355	SURVEY	1959	NATIONAL	7	10,773,000,000	603	17,865,000
356	SURVEY	1959	NATIONAL	8	9,963,000,000	559	17,823,000
357	SURVEY	1959	NATIONAL	9	9,316,000,000	524	17,779,000
358	SURVEY	1959	NATIONAL	10	9,240,000,000	521	17,736,000
359	SURVEY	1959	NATIONAL	11	8,778,000,000	496	17,697,000
360	SURVEY	1959	NATIONAL	12	9,375,000,000	531	17,655,000
361	SURVEY	1960	NATIONAL	1	9,876,000,000	560	17,645,000
362	SURVEY	1960	NATIONAL	2	9,665,000,000	549	17,619,000
363	SURVEY	1960	NATIONAL	3	10,706,000,000	608	17,595,000
364	SURVEY	1960	NATIONAL	4	11,057,000,000	629	17,569,000
365	SURVEY	1960	NATIONAL	5	12,232,000,000	697	17,542,000
366	SURVEY	1960	NATIONAL	6	11,681,000,000	667	17,519,000
367	SURVEY	1960	NATIONAL	7	10,716,000,000	612	17,496,000
368	SURVEY	1960	NATIONAL	8	9,978,000,000	571	17,479,000
369	SURVEY	1960	NATIONAL	9	9,304,000,000	533	17,463,000
370	SURVEY	1960	NATIONAL	10	9,385,000,000	538	17,442,000
371	SURVEY	1960	NATIONAL	11	8,969,000,000	515	17,424,000
372	SURVEY	1960	NATIONAL	12	9,540,000,000	548	17,404,000
373	SURVEY	1961	NATIONAL	1	9,920,000,000	571	17,382,000
374	SURVEY	1961	NATIONAL	2	9,431,000,000	543	17,358,000
375	SURVEY	1961	NATIONAL	3	10,998,000,000	635	17,332,000
376	SURVEY	1961	NATIONAL	4	11,175,000,000	646	17,302,000
377	SURVEY	1961	NATIONAL	5	12,326,000,000	714	17,272,000
378	SURVEY	1961	NATIONAL	6	12,038,000,000	698	17,247,000
379	SURVEY	1961	NATIONAL	7	11,001,000,000	639	17,223,000
380	SURVEY	1961	NATIONAL	8	10,248,000,000	596	17,205,000
381	SURVEY	1961	NATIONAL	9	9,595,000,000	559	17,177,000
382	SURVEY	1961	NATIONAL	10	9,746,000,000	568	17,156,000
383	SURVEY	1961	NATIONAL	11	9,325,000,000	544	17,136,000
384	SURVEY	1961	NATIONAL	12	9,904,000,000	579	17,111,000
385	SURVEY	1962	NATIONAL	1	10,258,000,000	601	17,077,000
